       65536
  7.6293937E-08  0.9999999       1.000000    
  7.6294704E-03  0.9988300      0.9999706    
  1.5258864E-02  0.9953279      0.9995306    
  2.2888258E-02  0.9895162      0.9976351    
  3.0517653E-02  0.9814316      0.9926195    
  3.8147047E-02  0.9711265      0.9824424    
  4.5776442E-02  0.9586658      0.9651904    
  5.3405836E-02  0.9441285      0.9397714    
  6.1035227E-02  0.9276060      0.9064564    
  6.8664618E-02  0.9092012      0.8668795    
  7.6294012E-02  0.8890278      0.8234656    
  8.3923407E-02  0.8672087      0.7786765    
  9.1552801E-02  0.8438759      0.7344882    
  9.9182196E-02  0.8191685      0.6922203    
  0.1068116      0.7932312      0.6526052    
  0.1144410      0.7662143      0.6159470    
  0.1220704      0.7382704      0.5822767    
  0.1296998      0.7095557      0.5514692    
  0.1373292      0.6802261      0.5233219    
  0.1449586      0.6504379      0.4976023    
  0.1525880      0.6203452      0.4740747    
  0.1602173      0.5901001      0.4525150    
  0.1678467      0.5598505      0.4327170    
  0.1754761      0.5297396      0.4144948    
  0.1831055      0.4999052      0.3976826    
  0.1907349      0.4704784      0.3821339    
  0.1983643      0.4415836      0.3677194    
  0.2059937      0.4133372      0.3543251    
  0.2136231      0.3858479      0.3418508    
  0.2212525      0.3592161      0.3302081    
  0.2288819      0.3335338      0.3193188    
  0.2365113      0.3088845      0.3091140    
  0.2441407      0.2853437      0.2995327    
  0.2517701      0.2629788      0.2905203    
  0.2593995      0.2418495      0.2820286    
  0.2670289      0.2220083      0.2740143    
  0.2746583      0.2035006      0.2664388    
  0.2822877      0.1863652      0.2592674    
  0.2899171      0.1706338      0.2524689    
  0.2975464      0.1563307      0.2460153    
  0.3051758      0.1434713      0.2398811    
  0.3128052      0.1320600      0.2340433    
  0.3204346      0.1220869      0.2284811    
  0.3280640      0.1135238      0.2231755    
  0.3356934      0.1063206      0.2181091    
  0.3433228      0.1004018      0.2132663    
  0.3509522      9.5666498E-02  0.2086325    
  0.3585816      9.1991007E-02  0.2041946    
  0.3662110      8.9234941E-02  0.1999403    
  0.3738404      8.7250039E-02  0.1958585    
  0.3814698      8.5889317E-02  0.1919390    
  0.3890992      8.5015059E-02  0.1881721    
  0.3967286      8.4504515E-02  0.1845493    
  0.4043580      8.4252805E-02  0.1810622    
  0.4119874      8.4173545E-02  0.1777035    
  0.4196168      8.4197909E-02  0.1744660    
  0.4272462      8.4272586E-02  0.1713434    
  0.4348755      8.4357336E-02  0.1683296    
  0.4425049      8.4422663E-02  0.1654190    
  0.4501343      8.4447555E-02  0.1626064    
  0.4577637      8.4417515E-02  0.1598867    
  0.4653931      8.4323116E-02  0.1572555    
  0.4730225      8.4158525E-02  0.1547085    
  0.4806519      8.3920605E-02  0.1522416    
  0.4882813      8.3608188E-02  0.1498512    
  0.4959107      8.3221413E-02  0.1475336    
  0.5035400      8.2761407E-02  0.1452855    
  0.5111694      8.2229950E-02  0.1431038    
  0.5187988      8.1629261E-02  0.1409856    
  0.5264282      8.0961920E-02  0.1389281    
  0.5340576      8.0230713E-02  0.1369287    
  0.5416870      7.9438627E-02  0.1349849    
  0.5493164      7.8588799E-02  0.1330944    
  0.5569458      7.7684455E-02  0.1312549    
  0.5645752      7.6728918E-02  0.1294645    
  0.5722046      7.5725526E-02  0.1277210    
  0.5798340      7.4677683E-02  0.1260228    
  0.5874634      7.3588751E-02  0.1243679    
  0.5950928      7.2462037E-02  0.1227546    
  0.6027222      7.1300708E-02  0.1211815    
  0.6103516      7.0107877E-02  0.1196470    
  0.6179810      6.8886429E-02  0.1181495    
  0.6256104      6.7639023E-02  0.1166879    
  0.6332397      6.6368155E-02  0.1152607    
  0.6408691      6.5076001E-02  0.1138667    
  0.6484985      6.3764483E-02  0.1125047    
  0.6561279      6.2435266E-02  0.1111736    
  0.6637573      6.1089728E-02  0.1098722    
  0.6713867      5.9729002E-02  0.1085997    
  0.6790161      5.8353972E-02  0.1073550    
  0.6866455      5.6965325E-02  0.1061370    
  0.6942749      5.5563603E-02  0.1049451    
  0.7019043      5.4149207E-02  0.1037782    
  0.7095337      5.2722473E-02  0.1026356    
  0.7171631      5.1283743E-02  0.1015164    
  0.7247925      4.9833424E-02  0.1004200    
  0.7324219      4.8372023E-02  9.9345513E-02
  0.7400513      4.6900343E-02  9.8292358E-02
  0.7476807      4.5419447E-02  9.7259820E-02
  0.7553101      4.3930825E-02  9.6247286E-02
  0.7629395      4.2436525E-02  9.5254116E-02
  0.7705688      4.0939264E-02  9.4279744E-02
  0.7781982      3.9442535E-02  9.3323581E-02
  0.7858276      3.7950777E-02  9.2385098E-02
  0.7934570      3.6469553E-02  9.1463767E-02
  0.8010864      3.5005663E-02  9.0559080E-02
  0.8087158      3.3567339E-02  8.9670569E-02
  0.8163452      3.2164358E-02  8.8797748E-02
  0.8239746      3.0808151E-02  8.7940179E-02
  0.8316040      2.9511791E-02  8.7097421E-02
  0.8392334      2.8289940E-02  8.6269081E-02
  0.8468628      2.7158564E-02  8.5454725E-02
  0.8544922      2.6134394E-02  8.4653996E-02
  0.8621216      2.5234222E-02  8.3866492E-02
  0.8697510      2.4473643E-02  8.3091885E-02
  0.8773804      2.3865823E-02  8.2329802E-02
  0.8850098      2.3419969E-02  8.1579916E-02
  0.8926392      2.3139920E-02  8.0841914E-02
  0.9002686      2.3023330E-02  8.0115467E-02
  0.9078979      2.3061305E-02  7.9400286E-02
  0.9155273      2.3238981E-02  7.8696072E-02
  0.9231567      2.3536533E-02  7.8002550E-02
  0.9307861      2.3930673E-02  7.7319436E-02
  0.9384155      2.4396280E-02  7.6646484E-02
  0.9460449      2.4907712E-02  7.5983420E-02
  0.9536743      2.5439968E-02  7.5330019E-02
  0.9613037      2.5969503E-02  7.4686021E-02
  0.9689331      2.6474642E-02  7.4051216E-02
  0.9765626      2.6935941E-02  7.3425367E-02
  0.9841920      2.7336288E-02  7.2808258E-02
  0.9918213      2.7660886E-02  7.2199695E-02
  0.9994507      2.7897276E-02  7.1599454E-02
   1.007080      2.8035199E-02  7.1007371E-02
   1.014709      2.8066559E-02  7.0423216E-02
   1.022339      2.7985236E-02  6.9846831E-02
   1.029968      2.7787117E-02  6.9278032E-02
   1.037598      2.7469872E-02  6.8716645E-02
   1.045227      2.7032916E-02  6.8162501E-02
   1.052856      2.6477281E-02  6.7615442E-02
   1.060486      2.5805470E-02  6.7075305E-02
   1.068115      2.5021408E-02  6.6541940E-02
   1.075745      2.4130257E-02  6.6015199E-02
   1.083374      2.3138329E-02  6.5494940E-02
   1.091003      2.2052927E-02  6.4981014E-02
   1.098633      2.0882208E-02  6.4473301E-02
   1.106262      1.9635085E-02  6.3971661E-02
   1.113892      1.8321002E-02  6.3475974E-02
   1.121521      1.6949862E-02  6.2986106E-02
   1.129150      1.5531828E-02  6.2501937E-02
   1.136780      1.4077185E-02  6.2023360E-02
   1.144409      1.2596209E-02  6.1550252E-02
   1.152039      1.1098991E-02  6.1082508E-02
   1.159668      9.5952870E-03  6.0620025E-02
   1.167297      8.0944058E-03  6.0162697E-02
   1.174927      6.6050454E-03  5.9710413E-02
   1.182556      5.1351674E-03  5.9263092E-02
   1.190186      3.6919378E-03  5.8820631E-02
   1.197815      2.2817466E-03  5.8382928E-02
   1.205444      9.1197295E-04  5.7949912E-02
   1.213074      4.4124102E-04  5.7521489E-02
   1.220703      1.7199157E-03  5.7097565E-02
   1.228333      2.9628759E-03  5.6678072E-02
   1.235962      4.1624266E-03  5.6262910E-02
   1.243591      5.3196661E-03  5.5852026E-02
   1.251221      6.4375219E-03  5.5445328E-02
   1.258850      7.5203022E-03  5.5042747E-02
   1.266479      8.5734725E-03  5.4644205E-02
   1.274109      9.6034771E-03  5.4249644E-02
   1.281738      1.0617481E-02  5.3858992E-02
   1.289368      1.1623071E-02  5.3472184E-02
   1.296997      1.2627931E-02  5.3089146E-02
   1.304626      1.3639515E-02  5.2709829E-02
   1.312256      1.4664662E-02  5.2334167E-02
   1.319885      1.5709318E-02  5.1962100E-02
   1.327515      1.6778236E-02  5.1593568E-02
   1.335144      1.7874751E-02  5.1228523E-02
   1.342773      1.9000670E-02  5.0866909E-02
   1.350403      2.0156169E-02  5.0508667E-02
   1.358032      2.1339821E-02  5.0153755E-02
   1.365662      2.2548648E-02  4.9802106E-02
   1.373291      2.3778254E-02  4.9453691E-02
   1.380920      2.5022963E-02  4.9108449E-02
   1.388550      2.6276011E-02  4.8766341E-02
   1.396179      2.7529750E-02  4.8427317E-02
   1.403809      2.8775830E-02  4.8091337E-02
   1.411438      3.0005390E-02  4.7758356E-02
   1.419067      3.1209286E-02  4.7428332E-02
   1.426697      3.2378223E-02  4.7101222E-02
   1.434326      3.3502959E-02  4.6776991E-02
   1.441956      3.4574438E-02  4.6455603E-02
   1.449585      3.5583951E-02  4.6137013E-02
   1.457214      3.6523256E-02  4.5821190E-02
   1.464844      3.7384670E-02  4.5508087E-02
   1.472473      3.8161177E-02  4.5197681E-02
   1.480103      3.8846571E-02  4.4889938E-02
   1.487732      3.9435439E-02  4.4584818E-02
   1.495361      3.9923284E-02  4.4282291E-02
   1.502991      4.0306538E-02  4.3982327E-02
   1.510620      4.0582597E-02  4.3684892E-02
   1.518250      4.0749904E-02  4.3389961E-02
   1.525879      4.0807866E-02  4.3097496E-02
   1.533508      4.0756907E-02  4.2807475E-02
   1.541138      4.0598452E-02  4.2519867E-02
   1.548767      4.0334895E-02  4.2234644E-02
   1.556396      3.9969537E-02  4.1951783E-02
   1.564026      3.9506618E-02  4.1671250E-02
   1.571655      3.8951181E-02  4.1393030E-02
   1.579285      3.8309082E-02  4.1117091E-02
   1.586914      3.7586857E-02  4.0843405E-02
   1.594543      3.6791712E-02  4.0571950E-02
   1.602173      3.5931386E-02  4.0302709E-02
   1.609802      3.5014115E-02  4.0035650E-02
   1.617432      3.4048501E-02  3.9770760E-02
   1.625061      3.3043444E-02  3.9508000E-02
   1.632690      3.2008015E-02  3.9247368E-02
   1.640320      3.0951364E-02  3.8988832E-02
   1.647949      2.9882601E-02  3.8732368E-02
   1.655579      2.8810684E-02  3.8477965E-02
   1.663208      2.7744291E-02  3.8225595E-02
   1.670837      2.6691660E-02  3.7975240E-02
   1.678467      2.5660511E-02  3.7726883E-02
   1.686096      2.4657862E-02  3.7480503E-02
   1.693726      2.3689898E-02  3.7236080E-02
   1.701355      2.2761842E-02  3.6993597E-02
   1.708984      2.1877840E-02  3.6753040E-02
   1.716614      2.1040831E-02  3.6514383E-02
   1.724243      2.0252528E-02  3.6277611E-02
   1.731873      1.9513324E-02  3.6042709E-02
   1.739502      1.8822337E-02  3.5809662E-02
   1.747131      1.8177491E-02  3.5578448E-02
   1.754761      1.7575605E-02  3.5349052E-02
   1.762390      1.7012587E-02  3.5121460E-02
   1.770020      1.6483625E-02  3.4895655E-02
   1.777649      1.5983444E-02  3.4671620E-02
   1.785278      1.5506555E-02  3.4449343E-02
   1.792908      1.5047492E-02  3.4228798E-02
   1.800537      1.4601050E-02  3.4009986E-02
   1.808167      1.4162497E-02  3.3792883E-02
   1.815796      1.3727761E-02  3.3577476E-02
   1.823425      1.3293584E-02  3.3363745E-02
   1.831055      1.2857622E-02  3.3151682E-02
   1.838684      1.2418637E-02  3.2941274E-02
   1.846313      1.1976500E-02  3.2732505E-02
   1.853943      1.1532323E-02  3.2525357E-02
   1.861572      1.1088589E-02  3.2319825E-02
   1.869202      1.0649149E-02  3.2115888E-02
   1.876831      1.0219362E-02  3.1913538E-02
   1.884460      9.8061208E-03  3.1712756E-02
   1.892090      9.4178393E-03  3.1513531E-02
   1.899719      9.0643121E-03  3.1315852E-02
   1.907349      8.7563656E-03  3.1119710E-02
   1.914978      8.5053081E-03  3.0925084E-02
   1.922607      8.3219660E-03  3.0731965E-02
   1.930237      8.2155606E-03  3.0540343E-02
   1.937866      8.1924461E-03  3.0350203E-02
   1.945496      8.2550775E-03  3.0161535E-02
   1.953125      8.4015550E-03  2.9974328E-02
   1.960754      8.6258119E-03  2.9788565E-02
   1.968384      8.9183850E-03  2.9604238E-02
   1.976013      9.2675220E-03  2.9421335E-02
   1.983642      9.6602906E-03  2.9239841E-02
   1.991272      1.0083443E-02  2.9059749E-02
   1.998901      1.0524081E-02  2.8881047E-02
   2.006531      1.0969999E-02  2.8703727E-02
   2.014160      1.1409886E-02  2.8527770E-02
   2.021789      1.1833364E-02  2.8353168E-02
