          16
  7.6293937E-08 -5.9604645E-08  0.0000000E+00
  1.1444167E-02 -2.9268616E-03 -2.4944113E-04
  3.4332350E-02 -2.5198352E-02 -1.5729748E-02
  8.0108717E-02 -0.1360985     -0.2313493    
  0.1716614     -0.6356918     -0.8418009    
  0.3547669      -2.127574      -1.557863    
  0.7209778      -3.076554      -2.274647    
   1.453400      -4.041446      -3.069925    
   2.918243      -4.342259      -4.185352    
   5.847930      -5.289987      -5.534597    
   11.70730      -6.611212      -6.919991    
   23.42605      -8.932017      -8.307113    
   46.86355      -10.48067      -9.693906    
   93.73855      -11.42640      -11.08045    
   187.4885      -12.67144      -12.46688    
   374.9885      -14.84269      -13.85325    
