16
   7.629394e-08    3.453878e+01    0.000000e+00
   1.144417e-02    3.453585e+01   -2.494411e-04
   3.433235e-02    3.451358e+01   -1.572975e-02
   8.010872e-02    3.440268e+01   -2.313493e-01
   1.716614e-01    3.390308e+01   -8.418009e-01
   3.547669e-01    3.241120e+01   -1.557863e+00
   7.209778e-01    3.146223e+01   -2.274647e+00
   1.453400e+00    3.049733e+01   -3.069925e+00
   2.918243e+00    3.019651e+01   -4.185352e+00
   5.847930e+00    2.924880e+01   -5.534597e+00
   1.170730e+01    2.792757e+01   -6.919991e+00
   2.342605e+01    2.560676e+01   -8.307113e+00
   4.686355e+01    2.405809e+01   -9.693906e+00
   9.373855e+01    2.311242e+01   -1.108045e+01
   1.874885e+02    2.186731e+01   -1.246688e+01
   3.749885e+02    1.969596e+01   -1.385325e+01
