Node_ID	X	Y	Z	Type
2340	28.975	-0.61	0.0	internal
2341	28.975	0.61	0.0	internal
2342	28.975	1.83	0.0	internal
2343	28.975	3.05	0.0	internal
2344	28.975	4.27	0.0	internal
2345	28.975	5.49	0.0	internal
2346	28.975	6.71	0.0	internal
2347	28.975	7.93	0.0	internal
2348	28.975	9.15	0.0	internal
2349	28.975	10.37	0.0	internal
2350	28.975	11.59	0.0	internal
2351	28.975	12.81	0.0	internal
2352	28.975	14.03	0.0	internal
2353	28.975	15.25	0.0	internal
2354	28.975	16.47	0.0	internal
2355	28.975	17.69	0.0	internal
2356	28.975	18.91	0.0	internal
2357	28.975	20.13	0.0	internal
2358	28.975	21.35	0.0	internal
2359	28.975	22.57	0.0	internal
2360	28.975	23.79	0.0	internal
2361	28.975	25.925	0.0	internal
2362	28.975	28.975	0.0	internal
3047	-28.975	-28.975	-0.25	internal
3048	-28.975	-25.925	-0.25	internal
3049	-28.975	-23.79	-0.25	internal
3050	-28.975	-22.57	-0.25	internal
3051	-28.975	-21.35	-0.25	internal
3052	-28.975	-20.13	-0.25	internal
3053	-28.975	-18.91	-0.25	internal
3054	-28.975	-17.69	-0.25	internal
3055	-28.975	-16.47	-0.25	internal
3056	-28.975	-15.25	-0.25	internal
3057	-28.975	-14.03	-0.25	internal
3058	-28.975	-12.81	-0.25	internal
3059	-28.975	-11.59	-0.25	internal
3060	-28.975	-10.37	-0.25	internal
3061	-28.975	-9.15	-0.25	internal
3062	-28.975	-7.93	-0.25	internal
3063	-28.975	-6.71	-0.25	internal
3064	-28.975	-5.49	-0.25	internal
3065	-28.975	-4.27	-0.25	internal
3066	-28.975	-3.05	-0.25	internal
3067	-28.975	-1.83	-0.25	internal
3068	-28.975	-0.61	-0.25	internal
3069	-28.975	0.61	-0.25	internal
3070	-28.975	1.83	-0.25	internal
3071	-28.975	3.05	-0.25	internal
3072	-28.975	4.27	-0.25	internal
3073	-28.975	5.49	-0.25	internal
3074	-28.975	6.71	-0.25	internal
3075	-28.975	7.93	-0.25	internal
3076	-28.975	9.15	-0.25	internal
3077	-28.975	10.37	-0.25	internal
3078	-28.975	11.59	-0.25	internal
3079	-28.975	12.81	-0.25	internal
3080	-28.975	14.03	-0.25	internal
3081	-28.975	15.25	-0.25	internal
3082	-28.975	16.47	-0.25	internal
3083	-28.975	17.69	-0.25	internal
3084	-28.975	18.91	-0.25	internal
3085	-28.975	20.13	-0.25	internal
3086	-28.975	21.35	-0.25	internal
3087	-28.975	22.57	-0.25	internal
3088	-28.975	23.79	-0.25	internal
3089	-28.975	25.925	-0.25	internal
3090	-28.975	28.975	-0.25	internal
3103	-25.925	-28.975	-0.25	internal
3146	-25.925	28.975	-0.25	internal
3159	-23.79	-28.975	-0.25	internal
3202	-23.79	28.975	-0.25	internal
3215	-22.57	-28.975	-0.25	internal
3258	-22.57	28.975	-0.25	internal
3271	-21.35	-28.975	-0.25	internal
3314	-21.35	28.975	-0.25	internal
3327	-20.13	-28.975	-0.25	internal
3370	-20.13	28.975	-0.25	internal
3383	-18.91	-28.975	-0.25	internal
3426	-18.91	28.975	-0.25	internal
3439	-17.69	-28.975	-0.25	internal
3482	-17.69	28.975	-0.25	internal
3495	-16.47	-28.975	-0.25	internal
3510	-16.47	28.975	-0.25	internal
3523	-15.25	-28.975	-0.25	internal
3538	-15.25	28.975	-0.25	internal
3551	-14.03	-28.975	-0.25	internal
3566	-14.03	28.975	-0.25	internal
3579	-12.81	-28.975	-0.25	internal
3610	-12.81	28.975	-0.25	internal
3623	-11.59	-28.975	-0.25	internal
3654	-11.59	28.975	-0.25	internal
3667	-10.37	-28.975	-0.25	internal
3698	-10.37	28.975	-0.25	internal
3711	-9.15	-28.975	-0.25	internal
3742	-9.15	28.975	-0.25	internal
3755	-7.93	-28.975	-0.25	internal
3786	-7.93	28.975	-0.25	internal
3799	-6.71	-28.975	-0.25	internal
3830	-6.71	28.975	-0.25	internal
3843	-5.49	-28.975	-0.25	internal
3874	-5.49	28.975	-0.25	internal
3887	-4.27	-28.975	-0.25	internal
3918	-4.27	28.975	-0.25	internal
3931	-3.05	-28.975	-0.25	internal
3962	-3.05	28.975	-0.25	internal
3975	-1.83	-28.975	-0.25	internal
4006	-1.83	28.975	-0.25	internal
4019	-0.61	-28.975	-0.25	internal
4050	-0.61	28.975	-0.25	internal
4063	0.61	-28.975	-0.25	internal
4094	0.61	28.975	-0.25	internal
4107	1.83	-28.975	-0.25	internal
4138	1.83	28.975	-0.25	internal
4151	3.05	-28.975	-0.25	internal
4182	3.05	28.975	-0.25	internal
4195	4.27	-28.975	-0.25	internal
4226	4.27	28.975	-0.25	internal
4239	5.49	-28.975	-0.25	internal
4270	5.49	28.975	-0.25	internal
4283	6.71	-28.975	-0.25	internal
4314	6.71	28.975	-0.25	internal
4327	7.93	-28.975	-0.25	internal
4358	7.93	28.975	-0.25	internal
4371	9.15	-28.975	-0.25	internal
4402	9.15	28.975	-0.25	internal
4415	10.37	-28.975	-0.25	internal
4446	10.37	28.975	-0.25	internal
4459	11.59	-28.975	-0.25	internal
4490	11.59	28.975	-0.25	internal
4503	12.81	-28.975	-0.25	internal
4534	12.81	28.975	-0.25	internal
4547	14.03	-28.975	-0.25	internal
4562	14.03	28.975	-0.25	internal
4575	15.25	-28.975	-0.25	internal
4590	15.25	28.975	-0.25	internal
4603	16.47	-28.975	-0.25	internal
4618	16.47	28.975	-0.25	internal
4631	17.69	-28.975	-0.25	internal
4674	17.69	28.975	-0.25	internal
4687	18.91	-28.975	-0.25	internal
4730	18.91	28.975	-0.25	internal
4743	20.13	-28.975	-0.25	internal
4786	20.13	28.975	-0.25	internal
4799	21.35	-28.975	-0.25	internal
4842	21.35	28.975	-0.25	internal
4855	22.57	-28.975	-0.25	internal
4898	22.57	28.975	-0.25	internal
4911	23.79	-28.975	-0.25	internal
4954	23.79	28.975	-0.25	internal
4967	25.925	-28.975	-0.25	internal
5010	25.925	28.975	-0.25	internal
5023	28.975	-28.975	-0.25	internal
5024	28.975	-25.925	-0.25	internal
5025	28.975	-23.79	-0.25	internal
5026	28.975	-22.57	-0.25	internal
5027	28.975	-21.35	-0.25	internal
5028	28.975	-20.13	-0.25	internal
5029	28.975	-18.91	-0.25	internal
5030	28.975	-17.69	-0.25	internal
5031	28.975	-16.47	-0.25	internal
5032	28.975	-15.25	-0.25	internal
5033	28.975	-14.03	-0.25	internal
5034	28.975	-12.81	-0.25	internal
5035	28.975	-11.59	-0.25	internal
5036	28.975	-10.37	-0.25	internal
5037	28.975	-9.15	-0.25	internal
5038	28.975	-7.93	-0.25	internal
5039	28.975	-6.71	-0.25	internal
5040	28.975	-5.49	-0.25	internal
5041	28.975	-4.27	-0.25	internal
5042	28.975	-3.05	-0.25	internal
5043	28.975	-1.83	-0.25	internal
5044	28.975	-0.61	-0.25	internal
5045	28.975	0.61	-0.25	internal
5046	28.975	1.83	-0.25	internal
5047	28.975	3.05	-0.25	internal
5048	28.975	4.27	-0.25	internal
5049	28.975	5.49	-0.25	internal
5050	28.975	6.71	-0.25	internal
5051	28.975	7.93	-0.25	internal
5052	28.975	9.15	-0.25	internal
5053	28.975	10.37	-0.25	internal
5054	28.975	11.59	-0.25	internal
5055	28.975	12.81	-0.25	internal
5056	28.975	14.03	-0.25	internal
5057	28.975	15.25	-0.25	internal
5058	28.975	16.47	-0.25	internal
5059	28.975	17.69	-0.25	internal
5060	28.975	18.91	-0.25	internal
5061	28.975	20.13	-0.25	internal
5062	28.975	21.35	-0.25	internal
5063	28.975	22.57	-0.25	internal
5064	28.975	23.79	-0.25	internal
5065	28.975	25.925	-0.25	internal
5066	28.975	28.975	-0.25	internal
5751	-28.975	-28.975	-0.5	internal
5752	-28.975	-25.925	-0.5	internal
5753	-28.975	-23.79	-0.5	internal
5754	-28.975	-22.57	-0.5	internal
5755	-28.975	-21.35	-0.5	internal
5756	-28.975	-20.13	-0.5	internal
5757	-28.975	-18.91	-0.5	internal
5758	-28.975	-17.69	-0.5	internal
5759	-28.975	-16.47	-0.5	internal
5760	-28.975	-15.25	-0.5	internal
5761	-28.975	-14.03	-0.5	internal
5762	-28.975	-12.81	-0.5	internal
5763	-28.975	-11.59	-0.5	internal
5764	-28.975	-10.37	-0.5	internal
5765	-28.975	-9.15	-0.5	internal
5766	-28.975	-7.93	-0.5	internal
5767	-28.975	-6.71	-0.5	internal
5768	-28.975	-5.49	-0.5	internal
5769	-28.975	-4.27	-0.5	internal
5770	-28.975	-3.05	-0.5	internal
5771	-28.975	-1.83	-0.5	internal
5772	-28.975	-0.61	-0.5	internal
5773	-28.975	0.61	-0.5	internal
5774	-28.975	1.83	-0.5	internal
5775	-28.975	3.05	-0.5	internal
5776	-28.975	4.27	-0.5	internal
5777	-28.975	5.49	-0.5	internal
5778	-28.975	6.71	-0.5	internal
5779	-28.975	7.93	-0.5	internal
5780	-28.975	9.15	-0.5	internal
5781	-28.975	10.37	-0.5	internal
5782	-28.975	11.59	-0.5	internal
5783	-28.975	12.81	-0.5	internal
5784	-28.975	14.03	-0.5	internal
5785	-28.975	15.25	-0.5	internal
5786	-28.975	16.47	-0.5	internal
5787	-28.975	17.69	-0.5	internal
5788	-28.975	18.91	-0.5	internal
5789	-28.975	20.13	-0.5	internal
5790	-28.975	21.35	-0.5	internal
5791	-28.975	22.57	-0.5	internal
5792	-28.975	23.79	-0.5	internal
5793	-28.975	25.925	-0.5	internal
5794	-28.975	28.975	-0.5	internal
5807	-25.925	-28.975	-0.5	internal
5850	-25.925	28.975	-0.5	internal
5863	-23.79	-28.975	-0.5	internal
5906	-23.79	28.975	-0.5	internal
5919	-22.57	-28.975	-0.5	internal
5962	-22.57	28.975	-0.5	internal
5975	-21.35	-28.975	-0.5	internal
6018	-21.35	28.975	-0.5	internal
6031	-20.13	-28.975	-0.5	internal
6074	-20.13	28.975	-0.5	internal
6087	-18.91	-28.975	-0.5	internal
6130	-18.91	28.975	-0.5	internal
6143	-17.69	-28.975	-0.5	internal
6186	-17.69	28.975	-0.5	internal
6199	-16.47	-28.975	-0.5	internal
6214	-16.47	28.975	-0.5	internal
6227	-15.25	-28.975	-0.5	internal
6242	-15.25	28.975	-0.5	internal
6255	-14.03	-28.975	-0.5	internal
6270	-14.03	28.975	-0.5	internal
6283	-12.81	-28.975	-0.5	internal
6314	-12.81	28.975	-0.5	internal
6327	-11.59	-28.975	-0.5	internal
6358	-11.59	28.975	-0.5	internal
6371	-10.37	-28.975	-0.5	internal
6402	-10.37	28.975	-0.5	internal
6415	-9.15	-28.975	-0.5	internal
6446	-9.15	28.975	-0.5	internal
6459	-7.93	-28.975	-0.5	internal
6490	-7.93	28.975	-0.5	internal
6503	-6.71	-28.975	-0.5	internal
6534	-6.71	28.975	-0.5	internal
6547	-5.49	-28.975	-0.5	internal
6578	-5.49	28.975	-0.5	internal
6591	-4.27	-28.975	-0.5	internal
6622	-4.27	28.975	-0.5	internal
6635	-3.05	-28.975	-0.5	internal
6666	-3.05	28.975	-0.5	internal
6679	-1.83	-28.975	-0.5	internal
6710	-1.83	28.975	-0.5	internal
6723	-0.61	-28.975	-0.5	internal
6754	-0.61	28.975	-0.5	internal
6767	0.61	-28.975	-0.5	internal
6798	0.61	28.975	-0.5	internal
6811	1.83	-28.975	-0.5	internal
6842	1.83	28.975	-0.5	internal
6855	3.05	-28.975	-0.5	internal
6886	3.05	28.975	-0.5	internal
6899	4.27	-28.975	-0.5	internal
6930	4.27	28.975	-0.5	internal
6943	5.49	-28.975	-0.5	internal
6974	5.49	28.975	-0.5	internal
6987	6.71	-28.975	-0.5	internal
7018	6.71	28.975	-0.5	internal
7031	7.93	-28.975	-0.5	internal
7062	7.93	28.975	-0.5	internal
7075	9.15	-28.975	-0.5	internal
7106	9.15	28.975	-0.5	internal
7119	10.37	-28.975	-0.5	internal
7150	10.37	28.975	-0.5	internal
7163	11.59	-28.975	-0.5	internal
7194	11.59	28.975	-0.5	internal
7207	12.81	-28.975	-0.5	internal
7238	12.81	28.975	-0.5	internal
7251	14.03	-28.975	-0.5	internal
7266	14.03	28.975	-0.5	internal
7279	15.25	-28.975	-0.5	internal
7294	15.25	28.975	-0.5	internal
7307	16.47	-28.975	-0.5	internal
7322	16.47	28.975	-0.5	internal
7335	17.69	-28.975	-0.5	internal
7378	17.69	28.975	-0.5	internal
7391	18.91	-28.975	-0.5	internal
7434	18.91	28.975	-0.5	internal
7447	20.13	-28.975	-0.5	internal
7490	20.13	28.975	-0.5	internal
7503	21.35	-28.975	-0.5	internal
7546	21.35	28.975	-0.5	internal
7559	22.57	-28.975	-0.5	internal
7602	22.57	28.975	-0.5	internal
7615	23.79	-28.975	-0.5	internal
7658	23.79	28.975	-0.5	internal
7671	25.925	-28.975	-0.5	internal
7714	25.925	28.975	-0.5	internal
7727	28.975	-28.975	-0.5	internal
7728	28.975	-25.925	-0.5	internal
7729	28.975	-23.79	-0.5	internal
7730	28.975	-22.57	-0.5	internal
7731	28.975	-21.35	-0.5	internal
7732	28.975	-20.13	-0.5	internal
7733	28.975	-18.91	-0.5	internal
7734	28.975	-17.69	-0.5	internal
7735	28.975	-16.47	-0.5	internal
7736	28.975	-15.25	-0.5	internal
7737	28.975	-14.03	-0.5	internal
7738	28.975	-12.81	-0.5	internal
7739	28.975	-11.59	-0.5	internal
7740	28.975	-10.37	-0.5	internal
7741	28.975	-9.15	-0.5	internal
7742	28.975	-7.93	-0.5	internal
7743	28.975	-6.71	-0.5	internal
7744	28.975	-5.49	-0.5	internal
7745	28.975	-4.27	-0.5	internal
7746	28.975	-3.05	-0.5	internal
7747	28.975	-1.83	-0.5	internal
7748	28.975	-0.61	-0.5	internal
7749	28.975	0.61	-0.5	internal
7750	28.975	1.83	-0.5	internal
7751	28.975	3.05	-0.5	internal
7752	28.975	4.27	-0.5	internal
7753	28.975	5.49	-0.5	internal
7754	28.975	6.71	-0.5	internal
7755	28.975	7.93	-0.5	internal
7756	28.975	9.15	-0.5	internal
7757	28.975	10.37	-0.5	internal
7758	28.975	11.59	-0.5	internal
7759	28.975	12.81	-0.5	internal
7760	28.975	14.03	-0.5	internal
7761	28.975	15.25	-0.5	internal
7762	28.975	16.47	-0.5	internal
7763	28.975	17.69	-0.5	internal
7764	28.975	18.91	-0.5	internal
7765	28.975	20.13	-0.5	internal
